ID,News/Comment,Type
TRAIN_34,ഐ.എ.എസ് ഇന്‍റര്‍വ്യൂവില്‍ കോഴിക്കോട് സബ് കളക്റ്റര്‍ ശ്രീധന്യ സുരേഷ് നേരിട്ട ചോദ്യങ്ങളെയും നല്‍കിയ ഉത്തരങ്ങളെയും കുറിച്ചുള്ള ലേഖനം,FALSE
TRAIN_35,കോഴിക്കോട് സിറ്റി ട്രാഫിക് പോലീസിന്‍റെ സന്ദേശം,FALSE
TRAIN_36,പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിയെ കാണാൻ കൊച്ചിയിൽ എത്തിയ ജനം.,FALSE
TRAIN_37,ശബരിമല സ്‌പെഷ്യല്‍ ട്രെയ്‌നുകള്‍ക്ക് അധിക നിരക്ക് ഈടാക്കി ഇന്ത്യന്‍ റെയില്‍വെ.,HALF TRUE
TRAIN_38,ശബരിമല-പമ്പ റോഡിൽ പശുവിനെ പുലി പിടിക്കുന്നു.,FALSE
TRAIN_39,തെലുങ്ക് നടന്‍ ചിരഞ്ജീവിക്കൊപ്പം യുവതി ശബരിമല സന്ദര്‍ശനം നടത്തുന്ന ചിത്രങ്ങള്‍ പുറത്ത്.,FALSE
TRAIN_40,ശബരിമലയില്‍ വീണ്ടും ആചാര ലംഘനം,FALSE
TRAIN_41,കേരളത്തിലെ ശബരിമല സന്നിധാനത്തിൽ ലഭിക്കുന്ന പ്രധാന മധുര പ്രസാദമാണ് അരവണ പായസം. പായസം ഉണ്ടാക്കുന്നതിനുള്ള ടെണ്ടർ ഒരു മുസ്ലീമിനാണ് നൽകിയത്. അയാൾ പ്രസാദം ഹലാൽ ആണെന്ന് സാക്ഷ്യപ്പെടുത്തുന്നു. എന്തിനാണ് പ്രസാദം,FALSE
TRAIN_42,409 വര്‍ഷം പഴക്കമുള്ള ശബരിമല ക്ഷേത്രത്തിന്റെ ചിത്രം. ഈ ചിത്രമെടുത്ത ശേഷമാണ് ബ്രിട്ടീഷ് ഈസ്റ്റ് ഇന്ത്യാ കമ്പനി അവരുടെ നാണയത്തില്‍ അയ്യപ്പന്റെ ചിത്രം ഉള്‍പ്പെടുത്തിയത്.,FALSE
TRAIN_43,പ്രിയ വര്‍ഗീസിന്‍റെ കണ്ണൂര്‍ സര്‍വകലാശാലയിലെ നിയമനം തടഞ്ഞ കോടതി വിധിക്കെതിരെ പ്രിയ വര്‍ഗീസും കുടുംബവും പ്രതിഷേധിക്കുന്ന വീഡിയോ,FALSE
TRAIN_44,കെപിസിസി പ്രസിഡന്റ് കെ.സുധാകരനെതിരെ കടുത്ത വിമര്‍ശനവുമായി കണ്ണൂര്‍ ഡിസിസി ജനറല്‍ സെക്രട്ടറി പ്രദീപ് വട്ടിപ്രം.,FALSE
TRAIN_45,കണ്ണൂർ എയർപോർട്ടിനായി ഭൂമി ഏറ്റെടുക്കുന്നതിനെതിരെ യുഡിഎഫ് സർക്കാരിൻറെ കാലത്ത് മട്ടന്നൂർ എംഎൽഎ പി ജയരാജന്റെ ഉപവാസ വേദിയിൽ സിപിഎം സംസ്ഥാന സെക്രട്ടറി കോടിയേരി ബാലകൃഷ്ണൻ നിൽക്കുന്ന ചിത്രം.,FALSE
TRAIN_46,കണ്ണൂർ എയർപോർട്ടിൽ വെച്ച് ഉണ്ടായ സംഭവമാണ് ഇത്. പോക്കറ്റിനുള്ളിൽ പവർ ബാങ്ക് വെച്ച് മൊബൈൽ ചാർജ് ചെയ്തതാണ്.,FALSE
TRAIN_47,അമേരിക്കയില്‍ നടന്ന റിയാലിറ്റിഷോയില്‍ വിജയികളായ കണ്ണൂര്‍ പൊതുവാച്ചേരിയില്‍ നിന്നുള്ള ടീം,FALSE
TRAIN_48,പാലക്കാട് ഇരുചക്രവാഹനങ്ങളിൽ പുരുഷന്മാരുടെ പിൻസീറ്റ് യാത്ര കേരളാ പോലീസ് പൂർണ്ണമായും നിരോധിച്ചു.,HALF TRUE
TRAIN_49,"പോലിസ് ഫ്രീ റൈഡ് സ്കീം ലോഞ്ച് ചെയ്തിരിക്കുന്നു. രാത്രികാലങ്ങളിൽ ഒറ്റയ്ക്കകപ്പെട്ടു പോവുന്ന സ്ത്രീകൾക്ക്, വീട്ടിൽ പോവാൻ വാഹനം ലഭ്യമില്ലാത്ത സാഹചര്യത്തിൽ രാത്രി 10 നും പുലർച്ച 6 മണിക്കും ഇടയിൽ, പോലീസ് ഹെൽപ്പ് ലൈൻ നമ്പർ 1091 & 7837018555 ൽ വിളിച്ച് വാഹനത്തിന് ആവശ്യപ്പെടാം. 24x7 സമയ...",FALSE
TRAIN_50,മാസ്‌ക്കിനെ കുറിച്ചുള്ള ബോധവല്‍ക്കരണം പുലിവാലായി; പ്രതികള്‍ കേരള പൊലീസോ; വൈറല്‍ ചിത്രവും സത്യവും,FALSE
TRAIN_51,കേരളത്തിലെ റെയില്‍വെ സ്‌റ്റേഷനിലേക്ക് വന്നിറങ്ങുന്ന ഇതരസംസ്ഥാന തൊഴിലാളികള്‍,HALF TRUE
TRAIN_52,മാസപ്പടി' വിവാദത്തില്‍ വാര്‍ത്ത നല്‍കരുതെന്ന് കേരള പത്രപ്രവര്‍ത്തക യൂണിയന്റെ നിര്‍ദ്ദേശം.,FALSE
TRAIN_53,ഏക സിവില്‍ കോഡിനെതിരെ പ്രമേയം പാസാക്കുന്ന ആദ്യ സംസ്ഥാനമാണ് കേരളം.,HALF TRUE
TRAIN_54,റോഡ് വഴിയുള്ള ബാംഗ്ലൂർ-കേരള രാത്രി യാത്ര അപകടകരമാണ്.ബംഗളൂരു-മൈസൂർ എക്‌സ്‌പ്രസ്‌വേയിൽ കള്ളന്മാരും കൊള്ളക്കാരും വിഹരിക്കുന്നു.,FALSE
TRAIN_55,വസ്തുതാപരിശോധന: ഇന്ത്യൻ പതാകയെ അനാദരിക്കുന്ന പാക്കിസ്ഥാനിൽ നിന്നുള്ള പഴയ വീഡിയോ തെറ്റായ അവകാശവാദത്തോടെ വൈറലാകുന്നു,FALSE
TRAIN_56,കേരളത്തിലെ റോഡിന്റെ ശോച്യാവസ്ഥ.,FALSE
TRAIN_57,കേരളത്തിലെ റോഡിലെ കുഴിയിൽ കാർ താഴ്ന്നതിൻ്റെ ചിത്രം,FALSE
TRAIN_58,കേരളത്തിലെ റോഡില്‍ അടുത്തിടെ രൂപപ്പെട്ട വലിയ കുഴി.,HALF TRUE
TRAIN_59,"മദ്യപാനി വെള്ളക്കെട്ടുള്ള റോഡ് മുറിച്ചു കടക്കവെ സ്ലാബില്ലാത്ത ഓടയില്‍ വീഴുന്ന ദൃശ്യം, കേരളത്തില്‍ നിന്ന്.",FALSE
TRAIN_60,ജനിച്ചയുടനെ കരയാതിരുന്ന കുഞ്ഞിൻ്റെ ജീവൻ രക്ഷിക്കുന്ന വീഡിയോ കേരളത്തിൽ നിന്നുള്ളത്,FALSE
TRAIN_61,കേരളത്തില്‍ നിന്ന് കാണാതായ ഈ കുട്ടിയെ തമിഴ്‌നാട്ടില്‍ കണ്ടെത്തി.,HALF TRUE
TRAIN_62,ഫോട്ടോയിൽ ഉള്ളത് കേരളത്തിൽ നിന്നും തട്ടി കൊണ്ട് പോയ കുട്ടി.,FALSE
TRAIN_63,പൂഞ്ഞാറിലെ പഞ്ചായത്ത് ഉപതിരഞ്ഞെടുപ്പ് പിസി ജോർജ്ജിന്റെ പാർട്ടിയുടെ പരാജയത്തിൽ മനം നൊന്ത് പാർവതി ഷോൺ കേരളത്തിൽ ജീവിക്കാൻ കൊള്ളില്ലെന്ന് പറയുന്നു.,FALSE
TRAIN_64,ശ്രീലങ്കയിൽനിന്നുള്ള പഴ വീഡിയോ കേരളത്തിൽനിന്നുള്ളതെന്നപേരിൽ തെറ്റിദ്ധാരണാജനകമായ അവകാശവാദവുമായി വൈറലാകുന്നു,FALSE
TRAIN_65,ദ കേരളാ സ്റ്റോറി സിനിമയുടെ റിലീസിന് ശേഷം മാവേലിക്കരയിൽ നടന്ന ദുർഗാവാഹിനി പഥസഞ്ചലൻ,FALSE
TRAIN_66,ആർഎസ്എസ് പ്രവർത്തകയെ കേരളത്തിൽ മുസ്ലീങ്ങൾ കൊലപ്പെടുത്തുന്നു.,FALSE
TRAIN_67,കേരള സ്‌റ്റോറിയിലെ നായിക ദേവൊലീന ഭട്ടാചാര്‍ജി മുസ്ലീം യുവാവിനൊപ്പം ഒളിച്ചോടി.,FALSE
TRAIN_68,കേരളത്തിൽ ആർഎസ്എസ് പ്രവർത്തകയെ മുസ്ലിം മതവിശ്വാസികൾ വെടിവെച്ചു കൊല്ലുന്നതിൻ്റെ ദൃശ്യങ്ങൾ,FALSE
TRAIN_69,ഐസിസ് എന്നെഴുതിയ ടീഷർട്ട് ധരിച്ച് കേരളത്തിലെ മുസ്ലിം യുവാക്കൾ,FALSE
TRAIN_70,ലേഡീസ് ഹോസ്റ്റലിനു മുന്നില്‍ നഗ്നതാ പ്രദര്‍ശനം നടത്തിയ കേരള കോണ്‍ഗ്രസ് നേതാവ് എ.എച്ച് ഹാഫിസിനെ പൊലീസ് അറസ്റ്റ് ചെയ്തു.,FALSE
TRAIN_71,കേരള ഓട്ടൊമൊബൈല്‍ ലിമിറ്റഡിന്റെ കീഴിലുള്ള ഇ-ഓട്ടോകള്‍ നിര്‍മ്മാണം അവസാനിപ്പിച്ചു.,FALSE
TRAIN_72,കേരള സർവകലാശാലയിൽ ആദ്യമായി എബിവിപിക്ക് ജയം .,FALSE
TRAIN_73,പ്ലാസ്റ്റിക് ക്യാരി ബാഗുകളുടെ നിരോധനം ഹൈക്കോടതി റദ്ദാക്കി,FALSE
TRAIN_74,പോർച്ചുഗൽ പതാക കീറിയതിന് കേരളത്തിലെ റൊണാൾഡോ ആരാധകർ ബിജെപി പ്രവർത്തകനെ മർദ്ദിച്ചു,FALSE
TRAIN_75,ആരാധനാലയങ്ങളില്‍ നിന്ന് വൈദ്യുതി നിരക്ക് ഈടാക്കുന്നതില്‍ വേര്‍തിരിവ്. മോസ്‌കുകള്‍ക്കും ക്രിസത്യന്‍ പള്ളികള്‍ക്കും നല്‍കേണ്ടി വരുന്ന തുകയേക്കാള്‍ കൂടുതല്‍ ക്ഷേത്രങ്ങള്‍ വൈദ്യുതി ചാര്‍ജായി നല്‍കേണ്ടിവരുന്നു.,FALSE
TRAIN_76,കേരളത്തിലെ ബിജെപിയുടെ ഒരു സീറ്റ് പോലും നഷ്ടപ്പെടുത്താന്‍ സിപിഎമ്മിന് കഴിയില്ല.. വെല്ലുവിളിയുമായി കെ.സുരേന്ദ്രന്‍ എന്ന തലക്കെട്ട് നല്‍കിയ റിപ്പോര്‍ട്ടര്‍ ചാനല്‍ നല്‍കിയ വാര്‍ത്ത,FALSE
TRAIN_77,ഇനി സ്ത്രീകള്‍ക്കും മല ചവിട്ടാം' എന്ന തലക്കെട്ടുള്ള ജന്മഭൂമി പത്രവുമായി ബിജെപി സംസ്ഥാന അധ്യാക്ഷന്‍ കെ.സുരേന്ദ്രന്‍.,FALSE
TRAIN_78,തെരഞ്ഞെടുപ്പ് കഴിഞ്ഞാലും ഇന്ധനവില ഒരു രൂപ പോലും കൂടില്ല എന്ന് കെ.സുരേന്ദ്രന്‍,FALSE
TRAIN_79,കേന്ദ്ര ആഭ്യന്തര മന്ത്രി അമിത് ഷായെ ബിജെപി സംസ്ഥാന പ്രസിഡന്റ് കെ സുരേന്ദ്രൻ വിമർശിക്കുന്നുവെന്ന രീതിയിൽ പ്രചരിപ്പിക്കുന്ന പോസ്റ്റ്,FALSE
TRAIN_80,ബിജെപി സംസ്ഥാന അധ്യക്ഷൻ കെ സുരേന്ദ്രൻ കേന്ദ്ര ആഭ്യന്തര മന്ത്രി അമിത് ഷാ നഗ്നരായ സന്യാസിമാരുടെ മുന്നിൽതൊഴുകൈയോടെ നിൽക്കുന്ന ചിത്രത്തെ നികൃഷ്ടമായ ആചാരം എന്ന് വിളിച്ചു.,FALSE
TRAIN_81,"ഞാൻ ജയിലിൽ പോയാൽ ആരും വിഷമിക്കരുത്,കെ സുരേന്ദ്രൻ",FALSE
TRAIN_82,തന്നെ ജയിലിലടച്ചാൽ ആരും സങ്കടപ്പെടരുത് എനിക്ക് മുൻപും പല മഹാന്മാരും ജയിലിൽ കിടന്നിട്ടുണ്ട് കുഴൽപണ കവർച്ചാ കേസ് അറസ്റ്റ് അടുക്കുമ്പോൾ അടവ് മാറ്റി സുരേന്ദ്രൻ,FALSE
TRAIN_83,കെ സുരേന്ദ്രന്‍റെ വ്യാജ ചിത്രം ഉപയോഗിച്ച് ഫേസ്‌ബുക്കിൽ പ്രചരണം,FALSE
TRAIN_84,കെ. സുരേന്ദ്രനിന് വോട്ടിടാന്‍ കടലോഴും കടന വന്ന തിരുവല്ലകരുടെ ചിത്രമാണോ ഇത്...?,FALSE
TRAIN_85,തൃശൂർ ചേലക്കരയിൽ ഒരു ക്ഷേത്രത്തിൽ നിന്ന് സിപിഎം ബ്രാഞ്ച് സെക്രട്ടി പണം മോഷ്ടിക്കുന്നു.,FALSE
TRAIN_86,സിപിഎം പുത്തന്‍ കടപ്പുറം ഓഫിസ് വാടകയ്ക്ക് നല്‍കുന്നു.,HALF TRUE
TRAIN_87,കമ്മ്യൂണിസ്റ്റ് പാർട്ടി ഓഫ് ഇന്ത്യ മാർക്സിസ്റ്റിന് ദേശീയ പാർട്ടി പദവി നഷ്ടമായി.,FALSE
TRAIN_88,1977ലെ സിപിഎമ്മിന്റെ തിരഞ്ഞെടുപ്പ് കണ്‍വവന്‍ഷനില്‍ പങ്കെടുക്കുന്ന ബിജെപി നേതാക്കള്‍.,HALF TRUE
TRAIN_89,ബംഗാളിലെ മൂന്ന് സിപിഎം എംഎല്‍എമാര്‍ ബിജെപിയില്‍ ചേര്‍ന്നു,FALSE
TRAIN_90,തൃക്കാക്കരയിൽ കള്ളവോട്ട് ചെയ്യുന്നതിനിടയിൽ സിപിഐഎം ഏരിയാ സെക്രട്ടറി പിടിയിൽ.,FALSE
TRAIN_91,കെ സുധാകരന്‍ ആര്‍‌എസ്‌എസ് പ്രവര്‍ത്തകരോടൊപ്പം നില്‍ക്കുന്നു,FALSE
TRAIN_92,ബിജെപി പരിപാടിയില്‍ പങ്കെടുക്കുന്നതില്‍ പ്രശ്‌നമില്ലെന്ന് കെപിസിസി പ്രസിഡന്റ് കെ.സുധാകരന്‍ .,HALF TRUE
TRAIN_93,കെപിസിസി പ്രസിഡന്റ് കെ.സുധാകരന്‍ ബിജെപി പ്രവര്‍ത്തകര്‍ക്കൊപ്പം നില്‍ക്കുന്ന ചിത്രം.,FALSE
TRAIN_94,"കെപിസിസി അധ്യക്ഷൻ കെ സുധാകരൻ, ഹനുമാൻ സേനയുടെ സമ്മേളനത്തിന്‍റെ ഉദ്ഘാടകനായി പങ്കെടുക്കുന്നു",FALSE
TRAIN_95,ഹനുമാൻ സേനയുടെ സമ്മേളനത്തിൽ കെ സുധാകരൻ പങ്കെടുക്കും,FALSE
TRAIN_96,കെ.സുധാകരന്‍ എംപിക്കെതിരായ ഫേസ്ബുക്ക് പോസ്റ്റില്‍ ആര്‍ജെ സൂരജ് മാപ്പ് പറഞ്ഞു.,FALSE
TRAIN_97,കഞ്ചാവ് കേസില്‍ പ്രതികളായ എസ്എഫ്‌ഐ പ്രവര്‍ത്തകരെ പുറത്തിറക്കാന്‍ സിപിഎം പ്രവര്‍ത്തകര്‍ പോലീസ് സ്റ്റേഷന്‍ ആക്രമിച്ചു.,FALSE
TRAIN_98,കഞ്ചാവുമായി പിടികൂടിയ എസ്എഫ്ഐ പ്രവര്‍ത്തകരെ വിട്ടുനല്‍കണമെന്ന് ആവശ്യപ്പെട്ട് സിപിഎം പ്രവര്‍ത്തകര്‍ പോലീസ് സ്റ്റേഷനില്‍ ഭീഷണി മുഴക്കുന്ന വീഡിയോ,FALSE
TRAIN_99,ഇടുക്കി എന്‍ജിനീയറിങ് കോളജില്‍ കൊല്ലപ്പെട്ട എസ്എഫ്ഐ പ്രവര്‍ത്തകനായിരുന്ന ധീരജിന്‍റെ കുടുംബത്തിന് 1.58 കോടി രൂപയാണ് സിപിഎം ഇടുക്കി ജില്ലാ കമ്മിറ്റി സമാഹരിച്ചതെന്നും ഇതില്‍ നിന്നും 35 ലക്ഷം രൂപ മാത്രമാണ് ധീരജിന്‍റെ കുടുംബത്തിന് നല്‍കി,FALSE
TRAIN_100,വയനാട് എംപി രാഹുൽ ഗാന്ധിയുടെ ഓഫീസിലേക്ക് അക്രമാസക്തമായി മാർച്ച് നടത്തിയ എസ്എഫ്ഐ പ്രവർത്തകർ നടത്തിയത് ഭീകരപ്രവർത്തനം ആണെന്ന് എൽഡിഎഫ് കൺവീനർ ഇപി ജയരാജൻ പറയുന്ന വീഡിയോ.,FALSE
TRAIN_101,തൃശ്ശൂർ ജില്ലാ ആശുപത്രിയിലുണ്ടായ എസ്എഫ്ഐ-എഐഎസ്എഫ് സംഘർഷത്തിൻറെ വീഡിയോ,HALF TRUE
TRAIN_102,SFIക്കാർ കോളേജിൽ നടത്തിയ ചുംബനം.,FALSE
TRAIN_103,കോളേജ് അടിച്ചുതകർക്കുന്ന എസ്എഫ്ഐ പ്രവർത്തകരുടെ വീഡിയോ,HALF TRUE
TRAIN_104,പഠിപ്പുമുടക്ക് സമരത്തിന് എത്തിയ എസ്എഫ്ഐ പ്രവർത്തകർ വടകരയിലെ സ്കൂളിന് മുൻപിൽ ഉണ്ടായ സംഘർഷത്തിന് ശേഷം ഓടി രക്ഷപ്പെടുന്നു,FALSE
TRAIN_105,കൊല്ലപ്പെട്ട എസ്എഫ്ഐ പ്രവർത്തകൻ ധീരജിന്റെ മൃതദേഹവും വഹിച്ചുകൊണ്ടുള്ള വിലാപയാത്ര കടന്നുപോകവേ സിപിഎം പ്രവർത്തകർ നൃത്തം ചെയ്യുന്നു,FALSE
TRAIN_106,ഈ വീഡിയോയിലുള്ളത് കൊടിപിടിച്ചു നില്‍ക്കുന്ന എബിവിപി പ്രവര്‍ത്തകരോ?,FALSE
TRAIN_107,గూగుల్ లో ఉన్న రెసిపీ ఫోటోని షేర్ చేసి తను తయారు చేసిన వంటగా కంగనా రనౌత్ ట్వీట్ చేసింది.,FALSE
TRAIN_108,"ഹരിദാസിനെ കൊലപ്പെടുത്തിയ ആര്‍എസ്എസ് പ്രവര്‍ത്തകനെ പിടികൂടിയത് ഡിവൈഎഫ്ഐ അധ്യാപികയുടെ തന്ത്രത്തിലൂടെയെന്ന തലക്കെട്ടും, തന്ത്രത്തിലൂടെ സ്വന്തം വീട്ടില്‍ വിളിച്ചു വരുത്തി പോലീസിനെ അറിയിക്കുകയായിരുന്നു എന്നും സബ് ഹെഡ്ഡിങ് നല്‍കിയും ദേശാഭിമാനി രേഷ്മയെ കുറിച്ച് വാര്‍ത്ത",FALSE
TRAIN_109,ഹരിദാസ് വധ കേസിലെ പ്രതിയെ അറസ്റ്റ് ചെയ്യാൻ സഹായിച്ചത് അധ്യാപിക എന്ന് ദേശാഭിമാനി,FALSE
TRAIN_110,വാരിയം കുന്നനെ അറസ്റ്റ് ചെയ്തതായി മലയാള മനോരമ നല്‍കിയ വാര്‍ത്ത.,FALSE
